identifier,version,Node ID,Revision ID,Revision Count,humanCodingScheme,P1 Notation,P2 Notation,P3 Notation,P4 Notation,P5 Notation,P6 Notation,P7 Notation,P8 Notation,P9 Notation,P1 Label,P2 Label,P3 Label,P4 Label,P5 Label,P6 Label,P7 Label,P8 Label,P9 Label,Statement Type,Education Level,Code,Label,fullstatement,concept keywords,Narrative,Notes,Statement Origin,ACT Original,Citations Text,Item Codes,Aligned CCSS/NGSS,Statement Tags,Order,Item Taxonomy Codes,Reporting Categories,Statement Subtype,Progression Group Number,Progression Group Label,Progression Group Level,Begin Grade,Errors and Misconceptions Text,Progression Citations,Errors Citations,Evidence Narrative,Passage/Stimulus Characteristics,Task Content Characteristics,Response and Interaction Characteristics,Key Non-targeted Constructs,Allowed Additional Skill Targets,Construct-Relevant Vocabulary,Vocabulary to Avoid,Task Narrative,Depth of Knowledge,Item Type,Available Tools,Specific Accessibility Concerns,Task Model Variables,Passage/Stimulus Specification,Common Errors and Misconceptions,Stem Requirements,Key and Distractor Requirements,Technology-Enhanced Interation Guidelines,Task Model Notes,Example items (codes or filenames),Example items (HTML),Rubric and Scoring Rules,Item Authoring Tips,Common Item Authoring Problems
d9e5843a-3898-41cc-8b50-9e0595b0b34b,2016-09-06 T12:54,75047,76220,1,H.A.MATH.NQ.VM,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,VM,Vectors and Matrices,representing sets of numbers in vectors and matrices,,,,,0,"Neudecker, Zmyslony, & Trenkler, 2003; Van Deventer & Wittmann, 2007",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacc8f79-8546-468c-b0a2-b189b5d4719d,2016-09-06 T12:54,74932,76105,1,H.A.MATH.NQ.CC.PC,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,PC,Pre-Counting,understanding numbers as they relate to quantities,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8db6d91-a912-42da-b68e-f5ba3cc29f37,2016-09-06 T12:54,74934,76107,1,H.A.MATH.NQ.CC.NL,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,NL,Number List,"reciting in order the number words to 100, and identifying and writing numerals to 20",,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98231ed7-5331-4d48-8fd9-50754bf5cace,2016-09-06 T12:54,74939,76112,1,H.A.MATH.NQ.CC.CS,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,CS,Count Sets,instantly recognizing sets of 0-10 and counting larger sets of objects,,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa434281-4317-4a47-8b66-6338ddee5e48,2016-09-06 T12:54,74946,76119,1,H.A.MATH.NQ.CC.CO,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,CO,Compare and Order,"Compare and order quantities, written numbers, and ordinal positions",,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84dbe0df-3847-4079-b59b-e207d09169c8,2016-09-06 T12:54,74951,76124,1,H.A.MATH.NQ.CC.CPT,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,CPT,Counting by Powers of Ten,counting forwards and backwards by powers of 10,,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670f93b8-5c37-40d3-a435-633e93bc1d01,2016-09-06 T12:54,74955,76128,1,H.A.MATH.NQ.CC.CT,H,A,MATH,NQ,CC,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,,,,,MCB,,CT,Counting Techniques,"Counting large numbers of objects, including combinations and permutations",,,,,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fccc3909-917a-4204-92a2-4b5a8248c42b,2016-09-06 T12:54,74933,76106,1,H.A.MATH.NQ.CC.PC.L1,H,A,MATH,NQ,CC,PC,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Pre-Counting,,,,LC,,L1,Level 1,Attempt to recite the number list and count quantities,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d0004df-3533-43ca-9656-75d2423cec5e,2016-09-06 T12:54,75432,76605,1,H.A.MATH.NQ.CC.PC.L1.1,H,A,MATH,NQ,CC,PC,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Pre-Counting,Level 1 - Attempt to recite the number list and count quantities,,,P,K;,,,Demonstrate rudimentary counting skills,recite number list;exhibit 1-to-1 correspondence when counting objects,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49709622-7e8b-4067-8284-04353d209f44,2016-09-06 T12:54,75433,76606,1,H.A.MATH.NQ.CC.PC.L1.2,H,A,MATH,NQ,CC,PC,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Pre-Counting,Level 1 - Attempt to recite the number list and count quantities,,,P,K;,,,Demonstrate informal knowledge of cardinality,May count a set but when asked how many are in the set do not state the last number stated in the counting sequence,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7842fe1-307c-4ef2-9d3e-0490951850b7,2016-09-06 T12:54,74935,76108,1,H.A.MATH.NQ.CC.NL.L1,H,A,MATH,NQ,CC,NL,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,,,,LC,,L1,Level 1,Count forward by ones to 100 and read and write numerals 0-20,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bb4c2eb-aeee-4bee-9bc7-8b698b3f7a60,2016-09-06 T12:54,74936,76109,1,H.A.MATH.NQ.CC.NL.L2,H,A,MATH,NQ,CC,NL,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,,,,LC,,L2,Level 2,Count forward and backward by ones from a given number within 100,,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17aee56c-dd73-458a-b564-91d6cc023fe0,2016-09-06 T12:54,74937,76110,1,H.A.MATH.NQ.CC.NL.L3,H,A,MATH,NQ,CC,NL,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,,,,LC,,L3,Level 3,Count forward by twos and fives,,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a4973ab-e0d7-46cd-8309-643f04a57e12,2016-09-06 T12:54,74938,76111,1,H.A.MATH.NQ.CC.NL.L4,H,A,MATH,NQ,CC,NL,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,,,,LC,,L4,Level 4,Count forward and backward over powers of 10,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f623dfaf-66c8-402a-8dbf-8a460fe0ff82,2016-09-06 T12:54,75434,76607,1,H.A.MATH.NQ.CC.NL.L1.1,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Count forward by ones to 10,,,,,0,,,K.CC.A; K.CC.1,,1,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c930ca7-10e5-4d0c-b3b6-b4b603df9701,2016-09-06 T12:54,75436,76609,1,H.A.MATH.NQ.CC.NL.L1.2,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Count forward by ones to 20,,,,,0,,,K.CC.A; K.CC.1,,2,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c598f09c-e0c4-4535-9fe4-dd01b998e963,2016-09-06 T12:54,75438,76611,1,H.A.MATH.NQ.CC.NL.L1.3,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,MP,K;,,,Count forward by ones to 100,,,,,0,,,K.CC.A; K.CC.1; 1.NBT.1,,3,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835e2b0c-04a2-4305-ab5b-c3cf0dd9ce22,2016-09-06 T12:54,75440,76613,1,H.A.MATH.NQ.CC.NL.L1.4,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Identify numerals 0-9,,,,,0,,,K.CC.A; K.CC.3,,4,,,Achievement KSAO,2,Read and write numerals to 20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7a30e7f-d4f8-4224-8dd3-9c58bc5302f5,2016-09-06 T12:54,75442,76615,1,H.A.MATH.NQ.CC.NL.L1.5,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Write numerals 0-9,,,,,0,,,K.CC.A; K.CC.3,,5,,,Achievement KSAO,2,Read and write numerals to 20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e98eb6c-7b72-49fd-bce5-72429b3ca17e,2016-09-06 T12:54,75444,76617,1,H.A.MATH.NQ.CC.NL.L1.6,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Identify numerals 10-20,,,,,0,,,K.CC.A; K.CC.3,,6,,,Achievement KSAO,2,Read and write numerals to 20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca2f8e0e-c206-4dfd-a7f0-d43af6798858,2016-09-06 T12:54,75446,76619,1,H.A.MATH.NQ.CC.NL.L1.7,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Write numerals 10-20,,,,,0,,,K.CC.A; K.CC.3,,7,,,Achievement KSAO,2,Read and write numerals to 20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd93e830-6935-4eaf-932c-171b6389942b,2016-09-06 T12:54,75448,76621,1,H.A.MATH.NQ.CC.NL.L1.8,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,MP,K;,,,Identify numerals 0-20,,,,,0,,,,,8,,,Achievement KSAO,2,Read and write numerals to 20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3da44f5-d26f-4206-9037-a474aff459a8,2016-09-06 T12:54,75450,76623,1,H.A.MATH.NQ.CC.NL.L1.9,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,MP,K;,,,Write numerals 0-20,,,,,0,,,,,9,,,Achievement KSAO,2,Read and write numerals to 20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c65f191f-0c33-4b23-a76b-802142a75f50,2016-09-06 T12:54,75452,76625,1,H.A.MATH.NQ.CC.NL.L1.10,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Represent the count/total number of a collection of 0-9 countable things using a written numeral,,,,,0,,,K.CC.A; K.CC.3,,10,,,Achievement KSAO,3,Represent the numerosity of a set with a written numeral,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966387c9-d1d3-4ef5-836a-605da9a8de01,2016-09-06 T12:54,75454,76627,1,H.A.MATH.NQ.CC.NL.L1.11,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,P,K;,,,Represent the count/total number of a collection of 10-20 countable things using a written numeral,,,,,0,,,K.CC.A; K.CC.3,,11,,,Achievement KSAO,3,Represent the numerosity of a set with a written numeral,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177887aa-0da7-4aae-928c-1348329aeb7f,2016-09-06 T12:54,75456,76629,1,H.A.MATH.NQ.CC.NL.L1.12,H,A,MATH,NQ,CC,NL,L1,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 1 - Count forward by ones to 100 and read and write numerals 0-20,,,MP,K;,,,Represent the count/total number of a collection of 0-20 countable things using a written numeral,,,,,0,,,K.CC.A; K.CC.3,,12,,,Achievement KSAO,3,Represent the numerosity of a set with a written numeral,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f2ae8c-54b1-4019-b3ba-bcf3c5d85e4d,2016-09-06 T12:54,75458,76631,1,H.A.MATH.NQ.CC.NL.L2.1,H,A,MATH,NQ,CC,NL,L2,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 2 - Count forward and backward by ones from a given number within 100,,,MP,1;,,,Count forward beginning from a given a number within a known sequence,,,,,0,,,K.CC.A; K.CC.2,,1,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec6c61fc-63f3-46b4-8a9f-36f3f1af6cd5,2016-09-06 T12:54,75460,76633,1,H.A.MATH.NQ.CC.NL.L2.2,H,A,MATH,NQ,CC,NL,L2,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 2 - Count forward and backward by ones from a given number within 100,,,P,1;,,,Count backward by ones from 5,,,,,0,,,,,2,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347d1fa-309b-49b9-9197-dc9e7ac76749,2016-09-06 T12:54,75462,76635,1,H.A.MATH.NQ.CC.NL.L2.3,H,A,MATH,NQ,CC,NL,L2,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 2 - Count forward and backward by ones from a given number within 100,,,P,1;,,,Count backward by ones from 10,,,,,0,,,,,3,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9dfaf27d-6876-4bfd-bbf8-2a20b2940dbb,2016-09-06 T12:54,75464,76637,1,H.A.MATH.NQ.CC.NL.L2.4,H,A,MATH,NQ,CC,NL,L2,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 2 - Count forward and backward by ones from a given number within 100,,,P,1;,,,Count backward by ones from 20,,,,,0,,,,,4,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0dc1199-9ad0-4804-9c77-6923a0292941,2016-09-06 T12:54,75466,76639,1,H.A.MATH.NQ.CC.NL.L2.5,H,A,MATH,NQ,CC,NL,L2,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 2 - Count forward and backward by ones from a given number within 100,,,MP,1;,,,Count backward when given a number within a known sequence,,,,,0,,,,,5,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd1aec14-c810-410c-b84a-17618ed86ba6,2016-09-06 T12:54,75468,76641,1,H.A.MATH.NQ.CC.NL.L3.1,H,A,MATH,NQ,CC,NL,L3,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 3 - Count forward by twos and fives,,,P,2;,,,Count forward by twos from an even number,,,,,0,,,2.OA.C; 2.OA.3,,1,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85f5086f-c01e-426f-acba-79c08c2bd27e,2016-09-06 T12:54,75470,76643,1,H.A.MATH.NQ.CC.NL.L3.2,H,A,MATH,NQ,CC,NL,L3,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 3 - Count forward by twos and fives,,,P,2;,,,Count forward by fives from a multiple of 5,,,,,0,,,2.NBT.A; 2.NBT.2,,2,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08d8f330-93c6-461f-81fa-07f131132263,2016-09-06 T12:54,75472,76645,1,H.A.MATH.NQ.CC.NL.L4.1,H,A,MATH,NQ,CC,NL,L4,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 4 - Count forward and backward over powers of 10,,,P,2;,,,Count forward by a composite unit over hundreds,,,,,0,,,,,1,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd45b492-3fca-41b5-ad60-df7c6962bb54,2016-09-06 T12:54,75474,76647,1,H.A.MATH.NQ.CC.NL.L4.2,H,A,MATH,NQ,CC,NL,L4,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 4 - Count forward and backward over powers of 10,,,P,2;,,,Count forward by a composite unit over thousands,,,,,0,,,,,2,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32123451-42ce-444f-933f-e2a7dabe7d47,2016-09-06 T12:54,75476,76649,1,H.A.MATH.NQ.CC.NL.L4.3,H,A,MATH,NQ,CC,NL,L4,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 4 - Count forward and backward over powers of 10,,,P,2;,,,Count forward by a composite unit,,,,,0,,,,,3,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc70e3c-3a70-4e81-9ae3-ad4007bacb03,2016-09-06 T12:54,75478,76651,1,H.A.MATH.NQ.CC.NL.L4.4,H,A,MATH,NQ,CC,NL,L4,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Number List,Level 4 - Count forward and backward over powers of 10,,,P,2;,,,Count backward by a composite unit,,,,,0,,,,,4,,,Achievement KSAO,1,Count forward and backward by a particular (composite) unit,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307327a8-d496-43d9-b7b1-c87a6bde65c5,2016-09-06 T12:54,74940,76113,1,H.A.MATH.NQ.CC.CS.L1,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L1,Level 1,Recognize small quantities,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e863dc1f-d277-49af-b7e5-8eba28b49286,2016-09-06 T12:54,74941,76114,1,H.A.MATH.NQ.CC.CS.L2,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L2,Level 2,Understand and demonstrate the relationship between counting and cardinality,,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6da236a-efb1-4ec9-b934-e4e461e93983,2016-09-06 T12:54,74942,76115,1,H.A.MATH.NQ.CC.CS.L3,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L3,Level 3,Reason about transformations applied to quantities,,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53928f65-563c-4835-9eb2-adaee7011c50,2016-09-06 T12:54,74943,76116,1,H.A.MATH.NQ.CC.CS.L4,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L4,Level 4,Count objects in a set,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d64411e-53ba-4bd7-9b51-8f757859c59d,2016-09-06 T12:54,74944,76117,1,H.A.MATH.NQ.CC.CS.L5,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L5,Level 5,Conduct figural counting,,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d02718c-b228-4919-939c-bef46bc8366d,2016-09-06 T12:54,74945,76118,1,H.A.MATH.NQ.CC.CS.L6,H,A,MATH,NQ,CC,CS,,,,Holistic Framework,Core Academics,Math,Number and Quantity,Counting and Cardinality,Count Sets,,,,LC,,L6,Level 6,Use place value materials to represent a number,,,,,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
