"Identifier","fullStatement","humanCodingScheme","IsRelatedTo","","","","","","","","","","","",""
"5b30c181-fef3-4df0-9dda-dcd82e10899f","ELA","OLO.3-4","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"3bf5973a-7bf6-4a87-96bf-11448c8c1a9b","Argumentative Text: Identify opinions and reasons in a text.","OLO.3-4.AT","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"96696c72-e491-4801-81a2-b800107a4b76","Identify the points about a topic that the author makes in a text.","OLO.3-4.AT.1","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"b7106b64-fd9b-4123-b820-e0239e34a353","Identify the reasons and evidence an author uses to support a point.","OLO.3-4.AT.2","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"328cc270-84a3-4ccc-bfb1-927325d21b6e","Explain how an author uses reasons to support points in a text.","OLO.3-4.AT.3","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"566d077d-bdee-44d1-9e6d-95815b913684","Explain how an author uses evidence to support points in a text.","OLO.3-4.AT.4","CCSS.ELA-Literacy.RI.4.8","","","","","","","","","","","",""
"0b398373-789e-488b-9c16-21739d21c1ea","ELA","OLO.5-6","CCSS.ELA-Literacy.RI.5.8","","","","","","","","","","","",""
"42b955cc-36f1-4f45-8773-6103cced360a","Argumentative Text: Identify argument, claims, and evidence.","OLO.5-6.AT","CCSS.ELA-Literacy.RI.5.8","","","","","","","","","","","",""
"2e51f3fe-f529-4296-baef-8513f1d92eb9","Determine the reasons and evidence that an author uses to support points of information in a text.","OLO.5-6.AT.1","CCSS.ELA-Literacy.RI.5.8","","","","","","","","","","","",""
"cf4df556-aeab-4ca7-96c5-c5dd7b6fc093","Identify which reasons and evidence support which points of information.","OLO.5-6.AT.2","CCSS.ELA-Literacy.RI.5.8","","","","","","","","","","","",""
"233d062f-e1f7-4542-9eef-6019cece82f7","Trace the argument and claims in a text.","OLO.5-6.AT.3","CCSS.ELA-Literacy.RI.6.8","","","","","","","","","","","",""
"6c70b095-b3fb-4846-86eb-51f37ef4dd45","Evaluate the argument made in a text.","OLO.5-6.AT.4","CCSS.ELA-Literacy.RI.6.8","","","","","","","","","","","",""
"f0cc8860-850c-4764-af4a-d7358bf45d85","Identify the reasons and evidence that support the claims in a text.","OLO.5-6.AT.5","CCSS.ELA-Literacy.RI.6.8","","","","","","","","","","","",""
"a07d7231-b71e-45db-9109-30efa71c7d10","Distinguish valid claims from claims that are not supported in the text.","OLO.5-6.AT.6","CCSS.ELA-Literacy.RI.6.8","","","","","","","","","","","",""
"5dc8c4b5-9c32-4483-9ba1-207cfde59987","ELA","OLO.7-8","CCSS.ELA-Literacy.RI.7.8","","","","","","","","","","","",""
"7bb9c1d8-0365-44af-b4ba-f7622c33c0c4","Argumentative Text: Trace argument, claims, and evidence.","OLO.7-8.AT","CCSS.ELA-Literacy.RI.7.8","","","","","","","","","","","",""
"ef2e25fc-f461-4311-9ac0-fcc4194a9486","Trace the argument developed in a persuasive text.","OLO.7-8.AT.1","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"cd1194ef-b9b0-4cff-ab40-36b55c611497","Evaluate the argument developed in a persuasive text.","OLO.7-8.AT.2","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"c143ef65-d6b3-458e-9a61-566555634cdd","Trace the specific claims that support an argument in a text.","OLO.7-8.AT.3","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"e9c93432-6329-4110-83c9-08e291547660","Evaluate the specific claims that support an argument in a text.","OLO.7-8.AT.4","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"500fa28e-af3f-41ff-aba6-20eddc6d6ad8","Distinguish claims that are supported by reasons and evidence from those claims that are not.","OLO.7-8.AT.5","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"94f559c0-d624-449f-82c3-8f3b69ac94be","Evaluate whether or not there is relevant and sufficient evidence to support claims.","OLO.7-8.AT.6","CCSS.ELA-Literacy.RI.7.8,CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"e8e4ae30-d297-443d-b192-415f3c616ec7","Recognize whether or not the evidence is irrelevant or insufficient to support claims.","OLO.7-8.AT.7","CCSS.ELA-Literacy.RI.8.8","","","","","","","","","","","",""
"3be057ed-2f8b-4c0b-ae0d-abdce89b2acc","ELA","OLO.9-10","CCSS.ELA-Literacy.RI.9-10.5","","","","","","","","","","","",""
"c09407b4-cc40-446a-bd17-c52c205c7f48","Argumentative Text: Analyze the arguments and logic of a text.","OLO.9-10.AT","CCSS.ELA-Literacy.RI.9-10.5","","","","","","","","","","","",""
"f65f1288-7ca3-4eb9-a836-ce42e8ad89b8","Identify how a particular portion of an argumentative text develops and refines an author's claims.","OLO.9-10.AT.1","CCSS.ELA-Literacy.RI.9-10.5","","","","","","","","","","","",""
"f1053ce4-fe59-4510-ac79-4ac0d7cb0b74","Analyze in detail the development and refinement of an author's claims in an argumentative text.","OLO.9-10.AT.2","CCSS.ELA-Literacy.RI.9-10.5","","","","","","","","","","","",""
"10679be8-73b5-4acd-ae8b-172893b4d8a2","Determine the point of view and the purpose of the author in writing an argumentative text.","OLO.9-10.AT.3","CCSS.ELA-Literacy.RI.9-10.6","","","","","","","","","","","",""
"5e18341b-7871-4a67-b883-8562f9c606c0","Analyze how authors use rhetoric to advance their points of view and purposes.","OLO.9-10.AT.4","CCSS.ELA-Literacy.RI.9-10.6","","","","","","","","","","","",""
"0de41c33-3659-46c1-b8f6-9b19a26195e0","Trace the argument and specific claims in a text.","OLO.9-10.AT.5","CCSS.ELA-Literacy.RI.9-10.8","","","","","","","","","","","",""
"ecdc8c5f-f8fd-4071-941c-74f0567d6774","Evaluate the argument and specific claims in a text.","OLO.9-10.AT.6","CCSS.ELA-Literacy.RI.9-10.8","","","","","","","","","","","",""
"d7943a49-89fc-4cca-8d55-925282d8c04d","Assess whether an argument uses valid reasoning.","OLO.9-10.AT.7","CCSS.ELA-Literacy.RI.9-10.8","","","","","","","","","","","",""
"f165c92e-cc0b-46c6-96b9-aa3f27c9db9f","Determine whether relevant and sufficient evidence supports an argument.","OLO.9-10.AT.8","CCSS.ELA-Literacy.RI.9-10.8","","","","","","","","","","","",""
"97c75c56-f1e6-4474-926f-30eab2ef8118","Identify whether an argument includes false statements and logical fallacies.","OLO.9-10.AT.9","CCSS.ELA-Literacy.RI.9-10.8","","","","","","","","","","","",""
"31f9b9f6-9802-416b-9ca5-b0d834024656","ELA","OLO.1-2","CCSS.ELA-Literacy.RL.2.7","","","","","","","","","","","",""
"feb3e058-8974-4ef8-90c3-e97f9fd8e75f","Digital Literacy: Use a variety of digital tools and documents.","OLO.1-2.DL","CCSS.ELA-Literacy.RL.2.7","","","","","","","","","","","",""
"cfb2b001-3993-489a-9aa9-e37385027b38","Use information from illustrations and words in digital documents to demonstrate understanding of characters of a story.","OLO.1-2.DL.1","CCSS.ELA-Literacy.RL.2.7","","","","","","","","","","","",""
"853b6a1b-7689-450f-adba-bba122d2265d","With guidance and support from adults, use digital tools to collaborate with others.","OLO.1-2.DL.10","CCSS.ELA-Literacy.W.1.6,CCSS.ELA-Literacy.W.2.6","","","","","","","","","","","",""
"49b1718c-e3a9-424d-b807-2fd27bc86916","Use information from illustrations and words in digital documents to demonstrate understanding of the setting of a story.","OLO.1-2.DL.2","CCSS.ELA-Literacy.RL.2.7","","","","","","","","","","","",""
"ecbc1505-4094-42d6-8b5f-0a7a4677180a","Use information from illustrations and words in digital documents to demonstrate understanding of events of a story.","OLO.1-2.DL.3","CCSS.ELA-Literacy.RL.2.7","","","","","","","","","","","",""
"193c8cfd-20ea-475a-8b42-2fb52d44299f","Identify digital text features (e.g. electronic menus, icons).","OLO.1-2.DL.4","CCSS.ELA-Literacy.RI.1.5,CCSS.ELA-Literacy.RI.2.5","","","","","","","","","","","",""
"522270e1-29ad-4281-a465-bf590b13728f","Use digital text features to locate key details and information.","OLO.1-2.DL.5","CCSS.ELA-Literacy.RI.1.5,CCSS.ELA-Literacy.RI.2.5","","","","","","","","","","","",""
"13e1ce0b-ae8d-4c3c-ac8e-2ee7318df911","Use digital glossaries and beginning dictionaries to determine or clarify the meaning of words and phrases.","OLO.1-2.DL.6","CCSS.ELA-Literacy.L.2.4e","","","","","","","","","","","",""
"3c8b848e-0535-4343-a0d8-e122310fdd72","With guidance and support from adults, use digital tools to produce writing.","OLO.1-2.DL.7","CCSS.ELA-Literacy.W.1.6,CCSS.ELA-Literacy.W.2.6","","","","","","","","","","","",""
"8884e6ca-0c2a-4199-978e-f888a3f4edbc","With guidance and support from adults, use digital tools to publish writing.","OLO.1-2.DL.8","CCSS.ELA-Literacy.W.1.6,CCSS.ELA-Literacy.W.2.6","","","","","","","","","","","",""
"fb623d27-6556-4eae-a17a-1d8971b02c29","With guidance and support from adults, use digital tools to communicate with others.","OLO.1-2.DL.9","CCSS.ELA-Literacy.W.1.6,CCSS.ELA-Literacy.W.2.6","","","","","","","","","","","",""
"44e1b6cb-9468-4d49-b6ac-e1209b7831b2","Evaluate and use techonology.","OLO.11-12.DL","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"d8b95d1d-b155-479b-a099-22ceb3dd9245","Use both local and web-based technology to produce, publish, and update individual writing.","OLO.11-12.DL.1","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"db9cbc53-b9f9-4bb9-ba58-3f6d5b402714","Use both local and web-based technology to produce, publish, and update shared writing projects.","OLO.11-12.DL.2","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"e7449b99-9d98-4a20-bf11-d012738c6591","Use both local and web-based technology to respond to ongoing feedback, new information, and further arguments.","OLO.11-12.DL.3","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"7957d06f-536e-4cd2-89a2-4dc1842e8d0c","Use different technologies, online platforms, and websites to compose, submit, and distribute writing.","OLO.11-12.DL.4","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"aeb6f898-b007-4568-9187-de9e6b1d5d15","Use technology to format writing and to include footnotes, citations, table of contents, and other text features required for a certain purpose or audience.","OLO.11-12.DL.5","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"9d05d412-0909-4e38-a1d2-cd89075f6101","Maintain a minimum keyboarding speed of 50WPM at 95% accuracy.","OLO.11-12.DL.6","CCSS.ELA-Literacy.W.11-12.6","","","","","","","","","","","",""
"b84bdc0a-c2c1-405d-b877-21e6f3195ec1","Evaluate domains, search engines, and other online sources for their credibility, currency, authority, and security.","OLO.11-12.DL.7","CCSS.ELA-Literacy.W.11-12.8","","","","","","","","","","","",""
"046dc5b0-5256-43b5-b530-de124b0673f4","Launch online searches with the effective use of precise keywords, specific symbols, and other operators.","OLO.11-12.DL.8","CCSS.ELA-Literacy.W.11-12.8","","","","","","","","","","","",""
"9f6de0ef-27d0-4cb3-99fa-87ca81c17e1b","Use digital media strategically to enhance an audience's understanding and enjoyment of a presentation.","OLO.11-12.DL.9","CCSS.ELA-Literacy.SL.11-12.5","","","","","","","","","","","",""
"7ad61f87-ff95-4fee-a7fd-94d7e23b5f7d","Digital Literacy: Use digital tools for writing.","OLO.3-4.DL","CCSS.ELA-Literacy.RI.3.5","","","","","","","","","","","",""
"7f146f83-4ce4-47a3-93d6-e5bb21ac1cc7","Use search tools to locate digital information on a given topic.","OLO.3-4.DL.1","CCSS.ELA-Literacy.RI.3.5","","","","","","","","","","","",""
"45495c77-ce86-4456-a4b2-bb9c6e9229ec","With some guidance and support from adults, use technology, including the internet, to produce writing.","OLO.3-4.DL.2","CCSS.ELA-Literacy.W.3.6,CCSS.ELA-Literacy.W.4.6","","","","","","","","","","","",""
"efeee0cd-e3d6-4047-9de2-9593afaed137","With some guidance and support from adults, use technology, including online tools, to publish writing.","OLO.3-4.DL.3","CCSS.ELA-Literacy.W.3.6,CCSS.ELA-Literacy.W.4.6","","","","","","","","","","","",""
"4a5b80a9-efa2-4a4b-a38c-09ac98cd550c","Demonstrate sufficient command of keyboarding skills to type a minimum of one page in a single sitting.","OLO.3-4.DL.4","CCSS.ELA-Literacy.W.3.6,CCSS.ELA-Literacy.W.4.6","","","","","","","","","","","",""
"10f308fa-6670-425e-a712-51d3517a56ce","Maintain minimum keyboarding speed of 20WPM at 95% accuracy.","OLO.3-4.DL.5","CCSS.ELA-Literacy.W.3.6,CCSS.ELA-Literacy.W.4.6","","","","","","","","","","","",""
"746d6e80-b869-48f5-8d1c-06c360f95026","Demonstrate sufficient command of mousing skills to move cursor, left click and point, double click a link, and drag and drop.","OLO.3-4.DL.6","CCSS.ELA-Literacy.W.3.6,CCSS.ELA-Literacy.W.4.6","","","","","","","","","","","",""
"bdb827f0-1436-4b60-aaeb-38c1510aed87","Search for a topic on the internet by using search engines and effective keywords.","OLO.3-4.DL.6","CCSS.ELA-Literacy.W.3.8,CCSS.ELA-Literacy.W.4.8","","","","","","","","","","","",""
"7063b4dc-2314-480c-bfc8-bc8010e44793","Digital Literacy: Use technology to produce writing and collaborate.","OLO.5-6.DL","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"d3c4f037-419f-476d-8488-82aa348e41d6","With some guidance and support from peers and adults use technology, including the Internet, to produce writing.","OLO.5-6.DL.1","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"338a0306-08de-42ee-84d6-9ae1e1666459","Demonstrate sufficient command of mousing skills to navigate websites and documents.","OLO.5-6.DL.10","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"fbceaebf-cc3f-46be-b0ae-5980fde1cf9c","With some guidance and support from peers and adults use technology, including the Internet, to publish writing.","OLO.5-6.DL.2","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"5549084a-384b-4092-9731-17bc51fbc51f","Use technology, including the internet to begin to produce and publish writing independently at the high end of the grade band.","OLO.5-6.DL.3","CCSS.ELA-Literacy.W.6.6","","","","","","","","","","","",""
"4900994b-8d53-4bfe-828c-6c7f2ba30ee5","With some guidance and support from peers and adults use technology, including the Internet, to interact and collaborate with others in writing projects.","OLO.5-6.DL.4","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"a6701d1b-42d7-464f-99d7-1849dbe5a110","With some guidance and support from peers and adults use technology, including the Internet, to interact and collaborate with others in researching projects.","OLO.5-6.DL.5","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"cccbebfe-ee44-473d-b66b-dfaf90025aa6","With some guidance and support from peers and adults use technology, including the Internet, to interact and collaborate with others in presenting projects.","OLO.5-6.DL.6","CCSS.ELA-Literacy.W.5.6","","","","","","","","","","","",""
"cbc99aee-6253-4bca-ab5f-b9d456a9073f","Use technology, including the internet to begin to collaborate with others on projects independently at the high end of the grade band.","OLO.5-6.DL.7","CCSS.ELA-Literacy.W.6.6","","","","","","","","","","","",""
"404cc012-eda7-4510-9cd3-cb0ac3895f7b","Demonstrate sufficient command of keyboarding skills to type a minimum of two pages in one hour.","OLO.5-6.DL.8","CCSS.ELA-Literacy.W.5.6,CCSS.ELA-Literacy.W.6.6","","","","","","","","","","","",""
"aab07065-3376-439c-bf55-c2b7be3ce76b","Maintain minimum keyboarding speed of 25WPM at 95% accuracy.","OLO.5-6.DL.9","CCSS.ELA-Literacy.W.5.6,CCSS.ELA-Literacy.W.6.6","","","","","","","","","","","",""
"11e16b06-5dee-4426-8997-ce94f329c2a6","Digital Literacy: Use technology in searching for information and in publishing.","OLO.7-8.DL","CCSS.ELA-Literacy.W.7.2a","","","","","","","","","","","",""
"492526a7-b4f6-415b-9814-c64da85475a9","Include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension of the topic.","OLO.7-8.DL.1","CCSS.ELA-Literacy.W.7.2a,CCSS.ELA-Literacy.W.8.2a","","","","","","","","","","","",""
"7db8f304-9d02-43af-831d-0deec9fb7a0f","Use search terms effectively for digital sources.","OLO.7-8.DL.10","CCSS.ELA-Literacy.W.7.8,CCSS.ELA-Literacy.W.8.8","","","","","","","","","","","",""
"5526f1a7-fe9a-4248-bd8a-fd13fa7ee8ec","Use technology that formats writing with indentation, line spacing, pagination, and other styles suitable to the text type and purpose.","OLO.7-8.DL.2","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"8aee5729-1a71-4d47-8908-ef6f0d5ceb1e","Use technology to publish, share, and reproduce texts complete with illustrations, graphics, and other media.","OLO.7-8.DL.3","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"a20185c9-aa9e-45a3-9301-28e90a4ac9b4","Demonstrate sufficient command of keyboarding skills to type a minimum of three pages in a single sitting.","OLO.7-8.DL.4","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"e7cd90f7-c58b-4f33-92d9-238e3d6c5589","Maintain minimum keyboarding speed of 30WPM at 95% accuracy.","OLO.7-8.DL.5","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"5ef73f76-1c63-4033-b34a-eff6c36a8769","Demonstrate sufficient command of all mouse functionality (e.g. right, left, and double click, drag and drop, highlighting, mouseover) to edit documents, to respond in online forms, and to search internet sources.","OLO.7-8.DL.6","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"a6697d34-be9d-4ed0-837e-33b13102a5d3","Use technology to link to and cite sources.","OLO.7-8.DL.7","CCSS.ELA-Literacy.W.7.6","","","","","","","","","","","",""
"69470bc4-4dac-4fd0-a109-be5ec46c991a","Use technology to interact and collaborate with others.","OLO.7-8.DL.8","CCSS.ELA-Literacy.W.7.6,CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"6d6f521e-0f56-45c3-bfdd-f0b9f752d408","Use technology to present relationships between information and ideas efficiently.","OLO.7-8.DL.9","CCSS.ELA-Literacy.W.8.6","","","","","","","","","","","",""
"ed492dc2-6e88-4cea-aa52-36079a56eaf0","Digital Literacy: Use and evaluate digital tools and internet sources.","OLO.9-10.DL","CCSS.ELA-Literacy.W.9-10.6","","","","","","","","","","","",""
"babe0612-0a60-4024-b50d-7fc869a5883e","Use keyboarding, mousing, and word processing to produce, publish, and update individual writing products.","OLO.9-10.DL.1","CCSS.ELA-Literacy.W.9-10.6","","","","","","","","","","","",""
"5f7abc29-4dc8-4f4c-a830-c5fc5813c412","Maintain minimum keyboarding speed of 40WPM at 95% accuracy.","OLO.9-10.DL.2","CCSS.ELA-Literacy.W.9-10.6","","","","","","","","","","","",""
"d707995e-adcf-42f9-b751-23677510ef46","Use learning management systems, document sharing sites, and other online tools to produce, publish, and update group writing products.","OLO.9-10.DL.3","CCSS.ELA-Literacy.W.9-10.6","","","","","","","","","","","",""
"bcb3001d-613b-4bb0-83c6-02b68b2a880b","Link to and to display information flexibly and dynamically through appropriate internet sources.","OLO.9-10.DL.4","CCSS.ELA-Literacy.W.9-10.6","","","","","","","","","","","",""
"a828b935-b6ae-41ff-b51c-98f73309a6e3","Run queries for digital sources by using keyword searches, quotations, and other search operators as well as by finding topical databases or search engines.","OLO.9-10.DL.5","CCSS.ELA-Literacy.W.9-10.8","","","","","","","","","","","",""
"6e39cc0e-d543-4f69-8439-ff740beeef7c","Determine the reliability and validity of digital sources based on currency, authority, and security of their sites.","OLO.9-10.DL.6","CCSS.ELA-Literacy.W.9-10.8","","","","","","","","","","","",""
"8db1e959-0d3e-4010-997f-fd921d4d6a1a","Use digital media strategically to enhance an audience's understanding and enjoyment of a presentation.","OLO.9-10.DL.7","CCSS.ELA-Literacy.SL.9-10.5","","","","","","","","","","","",""
"a3663253-aa84-4370-92a6-ee15ec98ced7","ELA","OLO.K","CCSS.ELA-Literacy.W.K.6","","","","","","","","","","","",""
"8943f8c1-00d3-41f1-82d0-f3716fe2444e","Digital Literacy: Use a variety of digital tools.","OLO.K.DL","CCSS.ELA-Literacy.W.K.6","","","","","","","","","","","",""
"52ca201f-f2d5-4c7a-898c-0cff3a78d54c","Explore a variety of digital tools to produce and publish writing with guidance and support from adults.","OLO.K.DL.1","CCSS.ELA-Literacy.W.K.6","","","","","","","","","","","",""
"82e457f8-a6ae-4a27-86ba-601291822bc4","Explore a variety of digital tools to collaborate with peers with guidance and support from adults.","OLO.K.DL.2","CCSS.ELA-Literacy.W.K.6","","","","","","","","","","","",""
"a57fe817-2d07-488b-85d7-bbd2bffee99a","Expository Text: Analyze complex expository texts.","OLO.11-12.ET","CCSS.ELA-Literacy.RL.11-12.1","","","","","","","","","","","",""
"998fd252-5d58-46f8-9829-9df8530c0752","Cite strong textual evidence to analyze explicit meaning found in expository, argumentative, or procedural texts.","OLO.11-12.ET.1","CCSS.ELA-Literacy.RL.11-12.1","","","","","","","","","","","",""
"e592285d-8c92-4d67-8bd6-8284380df744","Analyze complex relationships among individuals in an expository or argumentative text.","OLO.11-12.ET.10","CCSS.ELA-Literacy.RI.11-12.3","","","","","","","","","","","",""
"acc59041-bb0c-4992-8b75-b713990c4ada","Explain how events and individuals interact and impact one another's development over the course of an expository or argumentative text.","OLO.11-12.ET.11","CCSS.ELA-Literacy.RI.11-12.3","","","","","","","","","","","",""
"551a3d73-1702-406d-921f-56479eb02aa5","Determine the meaning of general academic words and phrases in expository, argumentative, or procedural texts.","OLO.11-12.ET.12","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"77c9166a-b58f-4713-907f-63b92305f055","Determine the meaning of domain-specific terms and phrases in expository, argumentative, or procedural texts.","OLO.11-12.ET.13","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"6f26f808-6ef6-4a7c-8f2c-41c8dcf6d635","Determine the figurative and connotative meaning of words and phrases in expository, argumentative, or procedural texts.","OLO.11-12.ET.14","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"9c2847cd-1697-4241-b03b-980e3597dcaf","Analyze how an author chooses and refines figurative language over the course of expository, argumentative, or procedural texts.","OLO.11-12.ET.15","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"a8832827-f600-4ef0-bb60-d5ea3470eceb","Analyze the choice an author makes to stress either the literal or figurative meanings of words and phrases in expository, argumentative, or procedural texts.","OLO.11-12.ET.16","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"4250cd9e-cb0a-4398-9da0-d840b6ead44c","Analyze the choice an author makes to stress either the denotation or connotation of words and phrases in expository, argumentative, or procedural texts.","OLO.11-12.ET.17","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"05459db9-0303-4499-b88c-ba92cdc0b37d","Analyze how an author develops the meaning of a key term or terms over the course of expository, argumentative, or procedural texts.","OLO.11-12.ET.18","CCSS.ELA-Literacy.RI.11-12.4","","","","","","","","","","","",""
"1d7d3f68-7aea-4e52-9818-c9876c84ccdf","Evaluate whether the structure chosen by the author makes the exposition of a text clear and effective.","OLO.11-12.ET.19","CCSS.ELA-Literacy.RI.11-12.5","","","","","","","","","","","",""
"55c37599-f21f-4ef5-b481-5cc8c8e1766e","Cite strong textual evidence to analyze inferences drawn from expository, argumentative, or procedural texts.","OLO.11-12.ET.2","CCSS.ELA-Literacy.RL.11-12.1","","","","","","","","","","","",""
"64fee9be-1d68-4c23-aa77-0508b23ec86d","Analyze how an author's choice of writing style pertains to the content and contributes to the power and effectiveness of the text.","OLO.11-12.ET.20","CCSS.ELA-Literacy.RI.11-12.6","","","","","","","","","","","",""
"a12cae47-c1f8-4e7f-a6af-33526be72264","Compare and contrast the themes of seminal historical and public documents from different time periods.","OLO.11-12.ET.21","CCSS.ELA-Literacy.RI.11-12.9","","","","","","","","","","","",""
"6cf88c81-d28c-472b-86e2-e39cb3603a47","Compare and contrast the purpose of authors who wrote seminal historical and public documents in different time periods.","OLO.11-12.ET.22","CCSS.ELA-Literacy.RI.11-12.9","","","","","","","","","","","",""
"d8413eab-39b7-4b5f-a019-5eafee2aed8f","Compare and contrast the rhetorical devices used in seminal historical and public documents from different time periods.","OLO.11-12.ET.23","CCSS.ELA-Literacy.RI.11-12.9","","","","","","","","","","","",""
"7b6622da-3ce6-4430-8101-4a6f16234c87","Determine those parts of expository, argumentative, or procedural texts that have unclear or uncertain ideas.","OLO.11-12.ET.3","CCSS.ELA-Literacy.RL.11-12.1","","","","","","","","","","","",""
"b0e8ba09-2996-47f4-bc8d-0d1390b4a689","Determine whether expository, argumenative, or procedural texts have two or more central ideas.","OLO.11-12.ET.4","CCSS.ELA-Literacy.RI.11-12.2","","","","","","","","","","","",""
"89596b8c-092e-4af3-8f35-59da75c2ecf2","State the central idea(s) of expository, argumentative, or procedural texts.","OLO.11-12.ET.5","CCSS.ELA-Literacy.RI.11-12.2","","","","","","","","","","","",""
"2edf806b-652d-4dfc-bdb0-efab96747a9b","Distinguish the relative importance and order of multiple central ideas found in expository, argumentative, and procedural texts.","OLO.11-12.ET.6","CCSS.ELA-Literacy.RI.11-12.2","","","","","","","","","","","",""
